file,alt_text,title,caption
listings/listing-05-office-golf-course-ext-1200x900.webp,"Office space interior, Golf Course Extension Road, Gurugram",Office space interior,"AI placeholder, replace with real photo"
listings/listing-05-office-golf-course-ext-800x600.webp,"Office space interior, Golf Course Extension Road, Gurugram",Office space interior,"AI placeholder, replace with real photo"
listings/listing-06-plot-sohna-road-1200x900.webp,"Residential plot, Sohna Road, Gurugram",Residential plot,"AI placeholder, replace with real photo"
listings/listing-06-plot-sohna-road-800x600.webp,"Residential plot, Sohna Road, Gurugram",Residential plot,"AI placeholder, replace with real photo"
markets/dlf-phase-1-5-600x800.webp,"Tree-lined residential street in DLF Phase 1 to 5, Gurugram",Tree-lined residential street in DLF Phase 1 to 5,"AI placeholder, replace with real photo"
markets/dlf-phase-1-5-900x1200.webp,"Tree-lined residential street in DLF Phase 1 to 5, Gurugram",Tree-lined residential street in DLF Phase 1 to 5,"AI placeholder, replace with real photo"
markets/golf-course-extension-600x800.webp,"New residential projects on Golf Course Extension Road, Gurugram",New residential projects on Golf Course Extension Road,"AI placeholder, replace with real photo"
markets/golf-course-extension-900x1200.webp,"New residential projects on Golf Course Extension Road, Gurugram",New residential projects on Golf Course Extension Road,"AI placeholder, replace with real photo"
markets/golf-course-road-600x800.webp,"Residential towers on Golf Course Road, Gurugram",Residential towers on Golf Course Road,"AI placeholder, replace with real photo"
markets/golf-course-road-900x1200.webp,"Residential towers on Golf Course Road, Gurugram",Residential towers on Golf Course Road,"AI placeholder, replace with real photo"
markets/sohna-road-600x800.webp,"Residential towers along Sohna Road, Gurugram",Residential towers along Sohna Road,"AI placeholder, replace with real photo"
markets/sohna-road-900x1200.webp,"Residential towers along Sohna Road, Gurugram",Residential towers along Sohna Road,"AI placeholder, replace with real photo"
pages/gurugram-skyline-dusk-16x9.webp,Gurugram skyline at dusk with the Aravalli ridge behind,Gurugram skyline at dusk with the Aravalli ridge behind,"AI placeholder, replace with real photo"
pages/hero-site-sohna-road-4x5.webp,"Residential tower under construction on Sohna Road, Gurugram",Residential tower under construction on Sohna Road,"AI placeholder, replace with real photo"
pages/new-launch-model-tower-4x3.webp,Scale model of a new residential launch in Gurugram,Scale model of a new residential launch in Gurugram,"AI placeholder, replace with real photo"
pages/office-desk-papers-4x3.webp,"Site plan, keys and chai on the Mayfair office desk",Site plan,"AI placeholder, replace with real photo"
pages/office-sector48-street-4x3.webp,"Mayfair office on the market road in Sector 48, Gurugram",Mayfair office on the market road in Sector 48,"AI placeholder, replace with real photo"
pages/site-walk-handover-4x5.webp,Site walk-through of an unfinished builder floor in Gurugram,Site walk-through of an unfinished builder floor in Gurugram,"AI placeholder, replace with real photo"
pages/sohna-road-street-4x3.webp,"Sohna Road, Gurugram, in late afternoon light",Sohna Road,"AI placeholder, replace with real photo"
pages/team-manager-placeholder-1x1.webp,"Upendra, Manager, Mayfair Properties & Developers",Upendra,"AI placeholder, replace with real photo"
pages/team-owner-placeholder-1x1.webp,"Hemchand Yadav, Owner, Mayfair Properties & Developers",Hemchand Yadav,"AI placeholder, replace with real photo"
pages/valuation-visit-doorway-4x5.webp,Measuring tape and clipboard at the door of a builder-floor home during a valuation visit,Measuring tape and clipboard at the door of a builder-floor home during a valuation visit,"AI placeholder, replace with real photo"
projects/project-01-mayfair-residences-1200x900.webp,"Mayfair Residences, residential project in Gurugram",Mayfair Residences,"AI placeholder, replace with real photo"
projects/project-01-mayfair-residences-800x600.webp,"Mayfair Residences, residential project in Gurugram",Mayfair Residences,"AI placeholder, replace with real photo"
projects/project-02-mayfair-corporate-park-1200x900.webp,"Mayfair Corporate Park, commercial project in Gurugram",Mayfair Corporate Park,"AI placeholder, replace with real photo"
projects/project-02-mayfair-corporate-park-800x600.webp,"Mayfair Corporate Park, commercial project in Gurugram",Mayfair Corporate Park,"AI placeholder, replace with real photo"
projects/project-03-mayfair-enclave-1200x900.webp,"Mayfair Enclave, builder floors in Gurugram",Mayfair Enclave,"AI placeholder, replace with real photo"
projects/project-03-mayfair-enclave-800x600.webp,"Mayfair Enclave, builder floors in Gurugram",Mayfair Enclave,"AI placeholder, replace with real photo"
social/og-image-1200x630.jpg,"Mayfair Properties & Developers, Gurugram",Mayfair Properties & Developers,
